Job_Titles,Job_category
Chief marketing officer,CXO
Director of Software Development,CXO
Chief Operations Officer,CXO
Chief Software Officer,CXO
Chief Information Security Officer,CXO
Chief Finance officer,CXO
CEO,CXO
Chief Executive Officer,CXO
President & CEO,CXO
Managing Director,CXO
Chairman,CXO
Founder,CXO
Chief Digital Officer,CXO
Chief Innovation Officer,CXO
Chief Technology Officer,CXO
Chief Operating Officer,CXO
Chief Information Officer,CXO
Chief Product Officer,CXO
Chief Strategy Officer,CXO
Global CEO,CXO
Group CEO,CXO
Regional CEO,CXO
Divisional CEO,CXO
Chief Transformation Officer,CXO
Chief Data Officer,CXO
Chief Analytics Officer,CXO
Chief Cybersecurity Officer,CXO
Chief AI Officer,CXO
Chief Blockchain Officer,CXO
Chief Cloud Officer,CXO
Chief Customer Officer,CXO
Chief Financial Officer,CXO
Chief HR Officer,CXO
Chief Legal Officer,CXO
Chief Sustainability Officer,CXO
HR Coordinator,Human Resource
Payroll Coordinator,Human Resource
Recruiting Coordinator,Human Resource
HR Specialist,Human Resource
HR Generalist,Human Resource
Recruiter,Human Resource
Human Resource Information Specialist,Human Resource
HR Manager,Human Resource
Recruiting Manager,Human Resource
HR Business Partner,Human Resource
HR Director,Human Resource
Recruiting Director,Human Resource
VP of HR,Human Resource
Chief Human Resource Officer,Human Resource
Career Consultant,Human Resource
Career Advisor,Human Resource
Assignment Coordinator,Human Resource
Placement Coordinator,Human Resource
Career Development Strategist,Human Resource
Personnel Agent,Human Resource
Human Resources Officer,Human Resource
Director of Human Resources,Human Resource
VP of Human Resources,Human Resource
Chief Human Resources Officer (CHRO),Human Resource
Talent Acquisition Manager,Human Resource
Recruitment Specialist,Human Resource
Employee Relations Manager,Human Resource
Compensation and Benefits Manager,Human Resource
Learning and Development Manager,Human Resource
HR Operations Manager,Human Resource
HRIS Manager,Human Resource
"Diversity, Equity, and Inclusion (DEI) Manager",Human Resource
Performance Management Specialist,Human Resource
Onboarding Specialist,Human Resource
Workforce Planning Manager,Human Resource
Succession Planning Manager,Human Resource
HR Consultant,Human Resource
Employer Branding Manager,Human Resource
Talent Management Specialist,Human Resource
People Analytics Manager,Human Resource
Change Management Specialist,Human Resource
Leadership Development Manager,Human Resource
Sales Representative,Sales
Account Manager,Sales
Sales Executive,Sales
Business Development Manager,Sales
Account Executive,Sales
Sales Manager,Sales
Sales Director,Sales
Regional Sales Manager,Sales
Inside Sales Representative,Sales
Outside Sales Representative,Sales
Sales Coordinator,Sales
Sales Administrator,Sales
Sales Operations Manager,Sales
Channel Sales Manager,Sales
Enterprise Sales Manager,Sales
Sales Engineer,Sales
Technical Sales Engineer,Sales
Pre-Sales Engineer,Sales
Solutions Architect,Sales
Partner Manager,Sales
Sales Analyst,Sales
Sales Trainer,Sales
Sales Enablement Manager,Sales
Sales Operations Analyst,Sales
Business Development Executive,Sales
Sales Development Representative,Sales
Strategic Account Manager,Sales
Partner Sales Manager,Sales
Channel Account Manager,Sales
Sales and Marketing Manager,Sales
Sales and Marketing Coordinator,Sales
Sales and Marketing Analyst,Sales
Sales and Marketing Director,Sales
Director of Business Development,Sales
Sales Enablement Coordinator,Sales
Sales Support Specialist,Sales
Sales Account Coordinator,Sales
Sales Account Specialist,Sales
Sales Account Executive,Sales
Sales Account Manager,Sales
Sales Account Director,Sales
Sales Development Manager,Sales
Sales Development Director,Sales
Head of Sales,Sales
VP of Sales,Sales
Director of Sales Operations,Sales
Sales Strategy Manager,Sales
Sales Strategy Director,Sales
Pre-Sales Customer Technology Strategist,Sales
Sales Associate,Sales
Sales Representative,Sales
Sales Manager,Sales
Retail Worker,Sales
Area Sales Manager,Sales
Direct Salesperson,Sales
Outside Sales Manager,Sales
B2B Sales Specialist,Sales
Director of marketing,Marketing
Marketing analyst,Marketing
Marketing coordinator,Marketing
Marketing consultant,Marketing
Marketing manager,Marketing
Marketing and promotions manager,Marketing
Marketing specialist,Marketing
Vice president of marketing,Marketing
Brand activation manager,Marketing
Brand manager,Marketing
Brand marketing manager,Marketing
Brand strategist,Marketing
Director of brand marketing,Marketing
Director of brand strategy,Marketing
Content director,Marketing
Content manager,Marketing
Content marketing manager,Marketing
Content marketing producer,Marketing
Content specialist,Marketing
Content strategist,Marketing
Content writer,Marketing
Digital marketing manager,Marketing
Digital strategist,Marketing
Director of digital marketing,Marketing
Director of web marketing,Marketing
Director of SEO operations,Marketing
Internet marketing specialist,Marketing
Paid search manager,Marketing
Pay-per-click manager,Marketing
SEM manager,Marketing
SEM specialist,Marketing
SEO manager,Marketing
SEO specialist,Marketing
Web marketing manager,Marketing
Web marketing specialist,Marketing
Campaign manager,Marketing
Demand generation manager,Marketing
Director of email marketing,Marketing
Ecommerce content specialist,Marketing
Ecommerce marketing analyst,Marketing
Ecommerce marketing director,Marketing
Ecommerce marketing manager,Marketing
Email developer,Marketing
Email marketer,Marketing
Email marketing strategist,Marketing
Email operations manager,Marketing
Analyst relations manager,Marketing
Analyst relations specialist,Marketing
Corporate communications assistant,Marketing
Corporate communications manager,Marketing
Director of communications,Marketing
Marketing communications manager,Marketing
Marketing communications specialist,Marketing
Media relations coordinator,Marketing
Public relations manager,Marketing
Publicity assistant,Marketing
Public relations intern,Marketing
Director of market research,Marketing
Insights analyst,Marketing
Market research analyst,Marketing
Market research interviewer,Marketing
Marketing data analyst,Marketing
Product research analyst,Marketing
Qualitative research assistant,Marketing
Affiliate marketing manager,Marketing
Channel marketing director,Marketing
Corporate partnership marketing manager,Marketing
Director of influencer marketing and partnerships,Marketing
Partner marketing advisor,Marketing
Partnership marketing director,Marketing
Partnership marketing manager,Marketing
Digital product marketing manager,Marketing
Director of product marketing,Marketing
Junior product marketing associate,Marketing
Portfolio marketing manager,Marketing
Product marketing manager,Marketing
Senior product marketing manager,Marketing
Solutions marketing manager,Marketing
Community manager,Marketing
Digital communications professional,Marketing
Digital media director,Marketing
Director of social media,Marketing
Director of social media marketing,Marketing
Engagement coordinator,Marketing
Engagement manager,Marketing
Multimedia communications specialist,Marketing
Social media editor,Marketing
Social media manager,Marketing
Social media marketing manager,Marketing
Social media strategist,Marketing
Software Developer,Development
